Predicted Label,label,flare,timestamp,NOAA,HARP,TOTUSJH,SAVNCPP,ABSNJZH,TOTPOT,TOTUSJZ,TOTBSQ,USFLUX,Cdec,Chis1d,Chis,Edec,Mhis,Xmax1d,Mdec,AREA_ACR,MEANPOT,Mhis1d,SHRGT45,TOTFX,MEANSHR
Negative,Negative,N,2017-09-01T12:58:42.50Z,12673,7115,-0.545141660972364,-0.530728174808676,-0.416145825239968,-0.575663711504888,-0.182941382157946,-0.19745738063281,-0.622824700222244,0,0,0,0,0,0,0,2.64749190053351,0.767709943329507,0,2.0652040274817,0.447863749110381,1.5320342674764
Negative,Negative,N,2017-09-01T13:58:42.50Z,12673,7115,-0.531631195878389,-0.528527799553665,-0.448386887680331,-0.563199470476296,-0.185176308868724,-0.193519113533823,-0.620312348599119,0,0,0,0,0,0,0,2.61392581906702,0.738631336453322,0,2.07587776535639,0.456608622261517,1.48762190621698
Negative,Negative,N,2017-09-01T14:58:42.50Z,12673,7115,-0.540024256967472,-0.529100183527841,-0.442434883395613,-0.565208904743307,-0.191830550457347,-0.190340119691587,-0.623082441010679,0,0,0,0,0,0,0,2.62837680861483,0.671750540638096,0,2.13671807124212,0.441622310233884,1.44158046690986
Negative,Negative,N,2017-09-01T15:58:42.40Z,12673,7115,-0.537914275113546,-0.529224893287364,-0.429415705844627,-0.563644728260876,-0.160580884262676,-0.184899560659964,-0.614155187982409,0,0,0,0,0,0,0,2.83589571078785,0.688616132626283,0,2.07357880642953,0.399441157387229,1.66895951779919
Negative,Negative,N,2017-09-01T16:58:42.40Z,12673,7115,-0.529387595135792,-0.52364641633513,-0.459555809026644,-0.562674245933402,-0.15556633764779,-0.182603844093458,-0.611654974666832,0,0,0,0,0,0,0,2.67202891797686,0.754915356303985,0,2.0316228060144,0.362301166710053,1.61883849217976
Negative,Negative,N,2017-09-01T17:58:42.40Z,12673,7115,-0.535604862082499,-0.524690725642803,-0.497075738202321,-0.559221714505439,-0.176977834000041,-0.179379404453996,-0.609906281844122,0,0,0,0,0,0,0,2.55760260743286,0.711879018127231,0,2.07669882211598,0.359386208993008,1.44599358696798
Negative,Negative,N,2017-09-01T18:58:42.40Z,12673,7115,-0.54172839637596,-0.524691085451688,-0.473998796079575,-0.565321258552003,-0.162125117542736,-0.187597150791762,-0.608570432965498,0,0,0,0,0,0,0,2.66355326428313,0.653140232237337,0,2.02053853975991,0.345325824710789,1.60479424065191
Negative,Negative,N,2017-09-01T19:58:42.40Z,12673,7115,-0.531156549676844,-0.525494826538885,-0.428493092857125,-0.548464697042348,-0.153106795187185,-0.185370842961285,-0.610224144930068,0,0,0,0,0,0,0,2.73675798380375,0.654303376512385,0,2.0410649587497,0.344399896965375,1.67300740462326
Negative,Negative,N,2017-09-01T20:58:42.40Z,12673,7115,-0.528428331173846,-0.521945096003542,-0.459930561136971,-0.558318264646744,-0.161383885568307,-0.182396321691966,-0.610707243976787,0,0,0,0,0,0,0,2.65355448576385,0.503094620756222,0,2.02127749084355,0.381231245060747,1.57901980023755
Negative,Negative,N,2017-09-01T21:58:42.40Z,12673,7115,-0.534284627689967,-0.522132700356154,-0.521643152346861,-0.558044591504683,-0.165629123240036,-0.18641277835211,-0.609446228800674,0,0,0,0,0,0,0,2.53452888667134,0.643835078036958,0,2.0316228060144,0.370634516418782,1.52884088859612
